ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-03-02,76.38698966156937,0.11739745997526059,198.9648300570956,76.30677530152796,76.45938685636867,20.666418599855202,20.666418599855202,20.666418599855202,25.40124029928559,25.40124029928559,25.40124029928559,-4.73482169943039,-4.73482169943039,-4.73482169943039,0.0,0.0,0.0,97.05340826142458
2026-03-03,76.22003552323288,-13.58814872694521,185.63220632128036,76.13918378168637,76.29301857236062,11.490216515740258,11.490216515740258,11.490216515740258,14.820470459653103,14.820470459653103,14.820470459653103,-3.330253943912846,-3.330253943912846,-3.330253943912846,0.0,0.0,0.0,87.71025203897314
2026-03-04,76.05308138489637,-20.56134041258587,176.83586138028662,75.97159226184475,76.12663872612985,2.8752095480662736,2.8752095480662736,2.8752095480662736,4.117967888540163,4.117967888540163,4.117967888540163,-1.2427583404738898,-1.2427583404738898,-1.2427583404738898,0.0,0.0,0.0,78.92829093296265
2026-03-05,75.88612724655988,-3.64777542501211,196.8827621709906,75.80420405591317,75.96022181789574,22.960301428351038,22.960301428351038,22.960301428351038,21.4190177572098,21.4190177572098,21.4190177572098,1.5412836711412394,1.5412836711412394,1.5412836711412394,0.0,0.0,0.0,98.84642867491092
2026-03-06,75.71917310822339,-12.02312531855797,181.88049836390746,75.63687663345463,75.79380490966166,8.87744740542081,8.87744740542081,8.87744740542081,3.8554596212494534,3.8554596212494534,3.8554596212494534,5.0219877841713565,5.0219877841713565,5.0219877841713565,0.0,0.0,0.0,84.5966205136442
2026-03-07,75.55221896988688,-63.2179854444537,133.92953612302682,75.4695492109961,75.62720414136925,-36.74823002722545,-36.74823002722545,-36.74823002722545,-45.9334172390601,-45.9334172390601,-45.9334172390601,9.185187211834643,9.185187211834643,9.185187211834643,0.0,0.0,0.0,38.80398894266143
2026-03-08,75.38526483155039,-39.73655762998636,161.48145678871444,75.30211482701714,75.46098754847542,-9.678750697822053,-9.678750697822053,-9.678750697822053,-23.68073878694085,-23.68073878694085,-23.68073878694085,14.001988089118797,14.001988089118797,14.001988089118797,0.0,0.0,0.0,65.70651413372833
2026-03-09,75.21831069321388,19.259847212433016,223.71666898992518,75.13446139328782,75.29465932976153,44.82992142673235,44.82992142673235,44.82992142673235,25.401240299305222,25.401240299305222,25.401240299305222,19.42868112742713,19.42868112742713,19.42868112742713,0.0,0.0,0.0,120.04823211994622
2026-03-10,75.05135655487739,16.05208756422493,216.82544391338314,74.96707091191344,75.12821666371995,40.22749184068017,40.22749184068017,40.22749184068017,14.820470459638926,14.820470459638926,14.820470459638926,25.40702138104125,25.40702138104125,25.40702138104125,0.0,0.0,0.0,115.27884839555756
2026-03-11,74.8844024165409,4.87274395577199,208.1736976321049,74.79949747710295,74.96159756763583,35.98284606624685,35.98284606624685,35.98284606624685,4.117967888544682,4.117967888544682,4.117967888544682,31.864878177702167,31.864878177702167,31.864878177702167,0.0,0.0,0.0,110.86724848278774
2026-03-12,74.71744827820439,35.05497391285827,240.88127779012405,74.63187345497522,74.79524162013821,60.13626506136486,60.13626506136486,60.13626506136486,21.419017757169,21.419017757169,21.419017757169,38.71724730419587,38.71724730419587,38.71724730419587,0.0,0.0,0.0,134.85371333956925
2026-03-13,74.5504941398679,28.32618408324532,223.71368895518694,74.46420744904673,74.62901804189622,49.72306731858607,49.72306731858607,49.72306731858607,3.855459621210572,3.855459621210572,3.855459621210572,45.8676076973755,45.8676076973755,45.8676076973755,0.0,0.0,0.0,124.27356145845397
2026-03-14,74.3835400015314,-18.881816903572098,182.94701590686216,74.29654144311822,74.46270173306768,7.276178207336988,7.276178207336988,7.276178207336988,-45.93341723906468,-45.93341723906468,-45.93341723906468,53.20959544640167,53.20959544640167,53.20959544640167,0.0,0.0,0.0,81.65971820886838
2026-03-15,74.2165858631949,15.113498871604968,214.1339305978962,74.12888843267899,74.29630195661584,36.94822033826434,36.94822033826434,36.94822033826434,-23.680738786914226,-23.680738786914226,-23.680738786914226,60.62895912517856,60.62895912517856,60.62895912517856,0.0,0.0,0.0,111.16480620145924
2026-03-16,74.0496317248584,70.43978354220383,264.62361408233886,73.9612479845355,74.12990218016402,93.40699289005121,93.40699289005121,93.40699289005121,25.401240299313823,25.401240299313823,25.401240299313823,68.00575259073739,68.00575259073739,68.00575259073739,0.0,0.0,0.0,167.45662461490963
2026-03-17,73.8826775865219,71.33970792705952,256.1393843603386,73.7936105012649,73.96364569039886,90.03718508373774,90.03718508373774,90.03718508373774,14.820470459616333,14.820470459616333,14.820470459616333,75.21671462412141,75.21671462412141,75.21671462412141,0.0,0.0,0.0,163.91986267025965
2026-03-18,73.71572344818539,61.252198805050796,263.9688905702232,73.62618200173077,73.79747854353262,86.25574723202277,86.25574723202277,86.25574723202277,4.117967888549205,4.117967888549205,4.117967888549205,82.13777934347355,82.13777934347355,82.13777934347355,0.0,0.0,0.0,159.97147068020814
2026-03-19,73.5487693098489,85.62838153989277,286.1432685532772,73.45855896173188,73.63098671278217,110.06567509481697,110.06567509481697,110.06567509481697,21.419017757177347,21.419017757177347,21.419017757177347,88.64665733763962,88.64665733763962,88.64665733763962,0.0,0.0,0.0,183.61444440466585
2026-03-20,73.38181517151239,70.25257285876992,268.5136919062302,73.29092583968821,73.46441014731523,98.48088468629534,98.48088468629534,98.48088468629534,3.8554596211716934,3.8554596211716934,3.8554596211716934,94.62542506512364,94.62542506512364,94.62542506512364,0.0,0.0,0.0,171.86269985780774
2026-03-21,73.2148610331759,33.132311788163015,227.02709142185427,73.12331089556443,73.29800602663778,54.029642066097466,54.029642066097466,54.029642066097466,-45.933417239088506,-45.933417239088506,-45.933417239088506,99.96305930518598,99.96305930518598,99.96305930518598,0.0,0.0,0.0,127.24450309927336
2026-03-22,73.0479068948394,50.42967668483506,251.04712237544615,72.95575601648616,73.13157972710889,80.8771155729212,80.8771155729212,80.8771155729212,-23.680738786864687,-23.680738786864687,-23.680738786864687,104.55785435978588,104.55785435978588,104.55785435978588,0.0,0.0,0.0,153.92502246776058
2026-03-23,72.8809527565029,110.05745977282957,300.68405979347955,72.78814940620154,72.9651519875334,133.72090256044035,133.72090256044035,133.72090256044035,25.401240299239177,25.401240299239177,25.401240299239177,108.31966226120117,108.31966226120117,108.31966226120117,0.0,0.0,0.0,206.60185531694324
2026-03-24,72.7139986181664,101.33934694222543,300.44352456099546,72.6205021175533,72.79868871237635,125.99237083571286,125.99237083571286,125.99237083571286,14.820470459707623,14.820470459707623,14.820470459707623,111.17190037600524,111.17190037600524,111.17190037600524,0.0,0.0,0.0,198.70636945387926
2026-03-25,72.5470444798299,98.1187299536903,296.0959674823053,72.45316339188116,72.63227620963781,117.17124428492085,117.17124428492085,117.17124428492085,4.117967888561986,4.117967888561986,4.117967888561986,113.05327639635885,113.05327639635885,113.05327639635885,0.0,0.0,0.0,189.71828876475075
2026-03-26,72.3800903414934,107.32821339186768,304.230657149643,72.2854636659188,72.46620166361578,135.33820538247323,135.33820538247323,135.33820538247323,21.419017757187643,21.419017757187643,21.419017757187643,113.91918762528557,113.91918762528557,113.91918762528557,0.0,0.0,0.0,207.71829572396663
2026-03-27,72.2131362031569,88.01204055472654,292.3070843683936,72.117749682606,72.2996327053529,117.59821912717095,117.59821912717095,117.59821912717095,3.8554596211386882,3.8554596211386882,3.8554596211386882,113.74275950603227,113.74275950603227,113.74275950603227,0.0,0.0,0.0,189.81135533032784
2026-03-28,72.0461820648204,42.36529069787436,236.74035274571355,71.95003569929317,72.13299821847589,66.58208006014411,66.58208006014411,66.58208006014411,-45.93341723901241,-45.93341723901241,-45.93341723901241,112.51549729915652,112.51549729915652,112.51549729915652,0.0,0.0,0.0,138.62826212496452
2026-03-29,71.8792279264839,63.61502169024982,258.74722258594556,71.78232171598037,71.96651538488004,86.56679564701093,86.56679564701093,86.56679564701093,-23.680738786815155,-23.680738786815155,-23.680738786815155,110.24753443382608,110.24753443382608,110.24753443382608,0.0,0.0,0.0,158.44602357349484
2026-03-30,71.71227378814743,102.99468025797619,306.46704378759256,71.6146040454766,71.80007138650187,132.36871139215015,132.36871139215015,132.36871139215015,25.40124029924778,25.40124029924778,25.40124029924778,106.96747109290239,106.96747109290239,106.96747109290239,0.0,0.0,0.0,204.08098518029757
2026-03-31,71.54531964981092,91.25269187816804,285.54894769080676,71.44688268778184,71.63361847002923,117.54227722660414,117.54227722660414,117.54227722660414,14.82047045968503,14.82047045968503,14.82047045968503,102.72180676691912,102.72180676691912,102.72180676691912,0.0,0.0,0.0,189.08759687641506
2026-04-01,71.37836551147443,77.08280378458355,267.8468058768545,71.27916420535706,71.467134913165,101.69194844613634,101.69194844613634,101.69194844613634,4.117967888566506,4.117967888566506,4.117967888566506,97.57398055756984,97.57398055756984,97.57398055756984,0.0,0.0,0.0,173.07031395761078
2026-04-02,71.21141137313793,80.08860135913689,284.3048226254987,71.1115283053757,71.30064196767718,113.0220604198733,113.0220604198733,113.0220604198733,21.41901775719599,21.41901775719599,21.41901775719599,91.60304266267731,91.60304266267731,91.60304266267731,0.0,0.0,0.0,184.23347179301123
2026-04-03,71.04445723480143,61.33847020644347,262.75878024124927,70.94384183456616,71.13414902218935,88.75744909714214,88.75744909714214,88.75744909714214,3.8554596213065695,3.8554596213065695,3.8554596213065695,84.90198947583558,84.90198947583558,84.90198947583558,0.0,0.0,0.0,159.80190633194357
2026-04-04,70.87750309646493,5.678588009132434,199.61046631600857,70.77624635531751,70.967697025754,31.64238561413735,31.64238561413735,31.64238561413735,-45.93341723903624,-45.93341723903624,-45.93341723903624,77.57580285317358,77.57580285317358,77.57580285317358,0.0,0.0,0.0,102.51988871060229
2026-04-05,70.71054895812843,22.515164646528653,216.15113459777425,70.60865281646916,70.80121830097353,46.05850233838365,46.05850233838365,46.05850233838365,-23.680738786788528,-23.680738786788528,-23.680738786788528,69.73924112517217,69.73924112517217,69.73924112517217,0.0,0.0,0.0,116.76905129651207
2026-04-06,70.54359481979193,55.90170140491662,257.01653280956884,70.44092871639805,70.63498434037899,86.91567548870958,86.91567548870958,86.91567548870958,25.401240299278435,25.401240299278435,25.401240299278435,61.51443518943114,61.51443518943114,61.51443518943114,0.0,0.0,0.0,157.45927030850152
2026-04-07,70.37664068145544,39.217182837121435,241.54277454195096,70.27318585839414,70.46877949633387,67.84881782373215,67.84881782373215,67.84881782373215,14.82047045966244,14.82047045966244,14.82047045966244,53.0283473640697,53.0283473640697,53.0283473640697,0.0,0.0,0.0,138.2254585051876
2026-04-08,70.20968654311893,11.91306386400916,222.2259077221966,70.10587219992414,70.3023084359809,48.528121403225235,48.528121403225235,48.528121403225235,4.1179678885326885,4.1179678885326885,4.1179678885326885,44.410153514692546,44.410153514692546,44.410153514692546,0.0,0.0,0.0,118.73780794634416
2026-04-09,70.04273240478243,23.73783251649516,225.00625320855917,69.93826888592046,70.13606359363331,57.20762798204773,57.20762798204773,57.20762798204773,21.419017757204347,21.419017757204347,21.419017757204347,35.78861022484338,35.78861022484338,35.78861022484338,0.0,0.0,0.0,127.25036038683015
2026-04-10,69.87577826644593,2.133121589472387,203.2033356278835,69.77065579676146,69.96993713181351,31.144928068355743,31.144928068355743,31.144928068355743,3.855459621267688,3.855459621267688,3.855459621267688,27.28946844708805,27.28946844708805,27.28946844708805,0.0,0.0,0.0,101.02070633480167
2026-04-11,69.70882412810943,-60.40587620375202,139.52467335095375,69.60304270760247,69.80377167131185,-26.900424064706346,-26.900424064706346,-26.900424064706346,-45.93341723905044,-45.93341723905044,-45.93341723905044,19.032993174344096,19.032993174344096,19.032993174344096,0.0,0.0,0.0,42.808400063403084
2026-04-12,69.54186998977293,-51.08962057273288,152.03461026839196,69.4354439976777,69.63741206421747,-12.549093509200295,-12.549093509200295,-12.549093509200295,-23.68073878673899,-23.68073878673899,-23.68073878673899,11.131645277538697,11.131645277538697,11.131645277538697,0.0,0.0,0.0,56.99277648057264
2026-04-13,69.37491585143644,-2.667699328860563,203.619394293139,69.26787740526721,69.47101493709877,29.08921717206057,29.08921717206057,29.08921717206057,25.401240299287032,25.401240299287032,25.401240299287032,3.6879768727735396,3.6879768727735396,3.6879768727735396,0.0,0.0,0.0,98.46413302349701
2026-04-14,69.20796171309993,-20.430301023433945,181.95528773512794,69.10055274963355,69.30482052579801,11.613256016189768,11.613256016189768,11.613256016189768,14.820470459639848,14.820470459639848,14.820470459639848,-3.2072144434500793,-3.2072144434500793,-3.2072144434500793,0.0,0.0,0.0,80.8212177292897
2026-04-15,69.04100757476344,-33.699857810510125,168.06574319516935,68.93333519199587,69.13857106173118,-5.358466357701957,-5.358466357701957,-5.358466357701957,4.117967888537212,4.117967888537212,4.117967888537212,-9.476434246239167,-9.476434246239167,-9.476434246239167,0.0,0.0,0.0,63.682541217061484
2026-04-16,68.87405343642693,-23.203952486207665,173.99291455322708,68.76613547825228,68.9722527762372,6.362305223729179,6.362305223729179,6.362305223729179,21.41901775721464,21.41901775721464,21.41901775721464,-15.05671253348546,-15.05671253348546,-15.05671253348546,0.0,0.0,0.0,75.23635866015611
2026-04-17,68.70709929809044,-46.73432844577504,149.4103937824649,68.59867153183691,68.80576135472653,-16.045016265781832,-16.045016265781832,-16.045016265781832,3.8554596212229355,3.8554596212229355,3.8554596212229355,-19.900475887004767,-19.900475887004767,-19.900475887004767,0.0,0.0,0.0,52.66208303230861
2026-04-18,68.54014515975395,-105.38898501552013,94.9062220906868,68.43095874908678,68.63921356093157,-69.90947509332122,-69.90947509332122,-69.90947509332122,-45.93341723906466,-45.93341723906466,-45.93341723906466,-23.97605785425656,-23.97605785425656,-23.97605785425656,0.0,0.0,0.0,-1.369329933567272
2026-04-19,68.37319102141744,-80.11079894662834,118.16076537338623,68.26355952881475,68.47256806313156,-50.94858280730063,-50.94858280730063,-50.94858280730063,-23.680738786925,-23.680738786925,-23.680738786925,-27.267844020375627,-27.267844020375627,-27.267844020375627,0.0,0.0,0.0,17.42460821411681
2026-04-20,68.20623688308095,-33.519019014039685,166.72346143890863,68.0959395857867,68.30586798646628,-4.37481701088126,-4.37481701088126,-4.37481701088126,25.40124029922342,25.40124029922342,25.40124029922342,-29.776057310104676,-29.776057310104676,-29.776057310104676,0.0,0.0,0.0,63.83141987219969
2026-04-21,68.03928274474444,-51.01783121912883,151.99178370063177,67.9282491507541,68.13929572011828,-16.695727342570294,-16.695727342570294,-16.695727342570294,14.820470459625666,14.820470459625666,14.820470459625666,-31.516197802195958,-31.516197802195958,-31.516197802195958,0.0,0.0,0.0,51.34355540217415
2026-04-22,67.87232860640795,-58.92035199805718,138.4110507535448,67.76055871572152,67.97333098433371,-28.400191638614697,-28.400191638614697,-28.400191638614697,4.117967888545862,4.117967888545862,4.117967888545862,-32.51815952716056,-32.51815952716056,-32.51815952716056,0.0,0.0,0.0,39.47213696779325
2026-04-23,67.70537446807145,-47.375953270415614,154.81133907555466,67.59286828068893,67.80665759255595,-11.406036390722656,-11.406036390722656,-11.406036390722656,21.41901775722299,21.41901775722299,21.41901775722299,-32.82505414794564,-32.82505414794564,-32.82505414794564,0.0,0.0,0.0,56.2993380773488
2026-04-24,67.53842032973495,-61.54049614630034,140.26838415289328,67.425187216658,67.63996235202623,-28.636318284891168,-28.636318284891168,-28.636318284891168,3.8554596213966934,3.8554596213966934,3.8554596213966934,-32.49177790628786,-32.49177790628786,-32.49177790628786,0.0,0.0,0.0,38.90210204484378
2026-04-25,67.37146619139845,-120.3192994502055,88.20011417940381,67.25740257407348,67.47351789599554,-77.51678084380565,-77.51678084380565,-77.51678084380565,-45.933417239078864,-45.933417239078864,-45.933417239078864,-31.58336360472677,-31.58336360472677,-31.58336360472677,0.0,0.0,0.0,-10.145314652407194
2026-04-26,67.20451205306196,-87.39143313146201,108.20258119694394,67.08953238525095,67.30705069612284,-53.85390235064432,-53.85390235064432,-53.85390235064432,-23.680738786875462,-23.680738786875462,-23.680738786875462,-30.17316356376885,-30.17316356376885,-30.17316356376885,0.0,0.0,0.0,13.350609702417643
2026-04-27,67.03755791472545,-37.213768347429934,164.21026320082998,66.9217156926059,67.14055455060421,-2.939672062023569,-2.939672062023569,-2.939672062023569,25.401240299232015,25.401240299232015,25.401240299232015,-28.340912361255587,-28.340912361255587,-28.340912361255587,0.0,0.0,0.0,64.09788585270188
2026-04-28,66.87060377638896,-45.492912986800015,152.3863252744394,66.75427622951854,66.9740584050856,-11.350249220899283,-11.350249220899283,-11.350249220899283,14.820470459594665,14.820470459594665,14.820470459594665,-26.170719680493946,-26.170719680493946,-26.170719680493946,0.0,0.0,0.0,55.520354555489675
2026-04-29,66.70364963805245,-52.27023389330998,147.33783504442158,66.58642141685232,66.80746784726584,-19.631075867959414,-19.631075867959414,-19.631075867959414,4.11796788855451,4.11796788855451,4.11796788855451,-23.749043756513924,-23.749043756513924,-23.749043756513924,0.0,0.0,0.0,47.072573770093044
2026-04-30,66.53669549971596,-34.76867483093388,162.70549301857542,66.41876133430506,66.6406322421307,0.25632301174316335,0.25632301174316335,0.25632301174316335,21.419017757182186,21.419017757182186,21.419017757182186,-21.162694745439023,-21.162694745439023,-21.162694745439023,0.0,0.0,0.0,66.79301851145912
2026-05-01,66.36974136137948,-41.629806180977035,159.5145186048471,66.25087358959537,66.47378486857826,-14.641455294909536,-14.641455294909536,-14.641455294909536,3.8554596213578134,3.8554596213578134,3.8554596213578134,-18.49691491626735,-18.49691491626735,-18.49691491626735,0.0,0.0,0.0,51.72828606646995
