Код клиента,Общая выручка,Общая прибыль,Количество заказов,Последняя покупка,Средняя прибыль на заказ,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Кумулятивная прибыль,Процент кумулятивной прибыли,ABC,CV,XYZ
6879208.0,1061.49,167.13,18,2025-05-27 12:43:00,9.285,55,18,167.13,3,4,4,11,Чемпионы,31343.5,0.5966023350928028,C,0.7205600182419573,Z
9901478.0,754.56,166.53,30,2025-06-22 21:19:19,5.551,28,30,166.53,3,4,4,11,Чемпионы,31510.03,0.5997721210727669,C,0.4844394740632721,Y
7273228.0,1223.19,165.13,24,2025-07-03 19:26:55,6.880416666666666,17,24,165.13,4,4,4,12,Чемпионы,31675.16,0.6029152589990953,C,1.1683767315303308,Z
4646206.0,1741.22,161.95000000000005,17,2025-04-30 21:27:09,9.526470588235297,81,17,161.95000000000005,2,4,4,10,Чемпионы,31837.11,0.6059978677750227,C,1.0267395161303539,Z
1385294.0,1731.2,160.44,31,2025-07-01 19:33:02,5.175483870967742,19,31,160.44,4,4,4,12,Чемпионы,31997.55,0.6090517347216715,C,1.0743447003430562,Z
4765180.0,1206.02,160.29,20,2025-06-11 16:03:54,8.0145,40,20,160.29,3,4,4,11,Чемпионы,32157.84,0.6121027465197166,C,1.2188159612598826,Z
6867866.0,1223.09,160.10999999999999,14,2025-07-19 20:27:15,11.43642857142857,1,14,160.10999999999999,4,4,4,12,Чемпионы,32317.95,0.6151503321394372,C,0.6787463677044434,Z
155116773.0,1306.45,158.65,13,2025-06-24 10:42:31,12.203846153846154,27,13,158.65,3,4,4,11,Чемпионы,32476.600000000002,0.6181701276460804,C,0.9638710075860595,Z
4753972.0,1353.72,158.23000000000005,12,2025-06-16 20:58:37,13.185833333333337,34,12,158.23000000000005,3,4,4,11,Чемпионы,32634.83,0.6211819287366329,C,0.9679443884674043,Z
5837654.0,866.53,156.94,38,2025-07-20 20:40:52,4.13,0,38,156.94,4,4,4,12,Чемпионы,32791.770000000004,0.6241691755491927,C,0.9793339291920342,Z
2199632.0,1893.16,151.63000000000002,25,2025-06-30 07:47:51,6.065200000000001,21,25,151.63000000000002,4,4,4,12,Чемпионы,32943.4,0.627055350101177,C,1.2979259733382773,Z
10092221.0,924.12,151.56999999999996,12,2025-03-25 14:04:23,12.63083333333333,118,12,151.56999999999996,2,4,4,10,Чемпионы,33094.97,0.6299403825937199,C,0.6721440871370975,Z
156901156.0,1552.5,149.42999999999998,12,2025-07-12 12:23:24,12.452499999999999,9,12,149.42999999999998,4,4,4,12,Чемпионы,33244.4,0.6327846816328481,C,1.9048529859790067,Z
2333228.0,876.0400000000001,146.03,28,2025-07-09 22:52:48,5.215357142857143,11,28,146.03,4,4,4,12,Чемпионы,33390.43,0.6355642639702898,C,1.440281159259207,Z
6202842.0,1270.85,143.22000000000003,20,2025-05-20 12:39:05,7.161000000000001,62,20,143.22000000000003,3,4,4,11,Чемпионы,33533.65,0.6382903598572198,C,1.536703259977585,Z
8744175.0,1028.82,142.09,30,2025-06-04 23:24:54,4.7363333333333335,46,30,142.09,3,4,4,11,Чемпионы,33675.74,0.640994946958001,C,1.047979062685341,Z
8205854.0,1101.84,141.01999999999998,14,2025-06-12 12:43:58,10.072857142857142,39,14,141.01999999999998,3,4,4,11,Чемпионы,33816.759999999995,0.6436791673320749,C,0.7026691563571873,Z
155510412.0,738.84,138.82999999999996,5,2024-12-30 16:01:39,27.76599999999999,203,5,138.82999999999996,1,3,4,8,Лояльные,33955.59,0.646321702536533,C,0.6038969702127572,Z
156525977.0,1003.62,137.56000000000003,13,2025-06-04 17:56:25,10.581538461538464,47,13,137.56000000000003,3,4,4,11,Чемпионы,34093.149999999994,0.6489400641494787,C,0.8690017291733596,Z
5091878.0,868.4300000000001,137.52,10,2025-07-07 12:54:46,13.752,14,10,137.52,4,4,4,12,Чемпионы,34230.66999999999,0.6515576643894634,C,0.39367047125563287,Y
155914623.0,1240.93,136.33000000000004,16,2025-06-16 11:11:42,8.520625000000003,35,16,136.33000000000004,3,4,4,11,Чемпионы,34366.99999999999,0.6541526137838579,C,1.4697116500078458,Z
155953370.0,1422.07,135.17000000000002,20,2025-06-17 13:14:43,6.758500000000001,34,20,135.17000000000002,3,4,4,11,Чемпионы,34502.16999999999,0.6567254833623828,C,0.9684968153101802,Z
9564394.0,951.63,133.72000000000003,14,2025-06-12 15:22:33,9.551428571428573,39,14,133.72000000000003,3,4,4,11,Чемпионы,34635.88999999999,0.6592707531710706,C,1.7320508075688772,Z
156016609.0,812.93,133.07,5,2024-07-28 14:25:59,26.613999999999997,358,5,133.07,1,3,4,8,Лояльные,34768.95999999999,0.661803650669142,C,0.0,
2397934.0,888.7500000000001,132.60000000000002,8,2025-03-03 13:14:35,16.575000000000003,140,8,132.60000000000002,2,3,4,9,Лояльные,34901.55999999999,0.6643276020349214,C,0.8989058759055129,Z
9975766.0,1021.34,127.86999999999999,25,2025-06-14 17:55:07,5.1148,37,25,127.86999999999999,3,4,4,11,Чемпионы,35029.42999999999,0.6667615210480602,C,1.1085808466302578,Z
5307229.0,791.88,127.48000000000002,22,2025-04-28 12:29:10,5.794545454545456,84,22,127.48000000000002,2,4,4,10,Чемпионы,35156.909999999996,0.6691880166748292,C,0.7948863254199139,Z
155080222.0,855.16,125.86000000000001,14,2025-04-18 16:18:14,8.99,94,14,125.86000000000001,2,4,4,10,Чемпионы,35282.77,0.6715836766966767,C,1.6409424936782073,Z
10442433.0,993.06,124.81999999999996,9,2025-07-03 22:13:02,13.868888888888884,17,9,124.81999999999996,4,3,4,11,Чемпионы,35407.59,0.6739595410215379,C,0.5461819514471573,Z
6919921.0,563.37,124.74000000000001,15,2025-03-25 22:13:41,8.316,117,15,124.74000000000001,2,4,4,10,Чемпионы,35532.329999999994,0.6763338826004769,C,0.9483493711414491,Z
6532786.0,685.3299999999999,124.25999999999996,18,2025-05-26 08:58:29,6.9033333333333315,56,18,124.25999999999996,3,4,4,11,Чемпионы,35656.59,0.6786990877038838,C,0.9417088693143778,Z
6458970.0,1144.02,123.42999999999999,13,2025-05-22 21:07:52,9.494615384615384,59,13,123.42999999999999,3,4,4,11,Чемпионы,35780.02,0.6810484943183495,C,0.6774180264949716,Z
7922537.0,1552.1799999999998,121.36999999999998,28,2025-06-11 00:02:19,4.334642857142856,40,28,121.36999999999998,3,4,4,11,Чемпионы,35901.39,0.6833586902253226,C,0.9190403015096013,Z
4658651.0,642.04,121.34000000000002,13,2025-06-24 10:16:39,9.333846153846155,27,13,121.34000000000002,3,4,4,11,Чемпионы,36022.729999999996,0.685668315102575,C,0.6137530362740276,Z
7227047.0,761.24,121.32,20,2025-06-01 16:14:57,6.066,50,20,121.32,3,4,4,11,Чемпионы,36144.049999999996,0.6879775592933468,C,0.7215606735744634,Z
7680291.0,1091.88,118.06000000000002,12,2025-07-10 20:15:27,9.838333333333335,10,12,118.06000000000002,4,4,4,12,Чемпионы,36262.10999999999,0.6902247515877956,C,0.8558659929732039,Z
155041030.0,622.45,117.75999999999999,13,2025-03-17 09:23:26,9.058461538461538,126,13,117.75999999999999,2,4,4,10,Чемпионы,36379.869999999995,0.6924662335850368,C,1.3122867488019705,Z
7306845.0,1261.79,116.69999999999999,7,2025-07-09 10:57:27,16.67142857142857,12,7,116.69999999999999,4,3,4,11,Чемпионы,36496.56999999999,0.6946875391988109,C,1.6719269940741794,Z
6478038.0,776.35,115.45000000000002,13,2025-06-12 11:10:02,8.880769230769232,39,13,115.45000000000002,3,4,4,11,Чемпионы,36612.01999999999,0.6968850519075531,C,0.8704808952688173,Z
9700281.0,752.8000000000001,115.16000000000003,20,2025-07-17 12:29:25,5.758000000000001,4,20,115.16000000000003,4,4,4,12,Чемпионы,36727.17999999999,0.6990770446623281,C,0.722806894527434,Z
4728887.0,1085.6,114.75999999999999,9,2025-07-08 22:51:11,12.75111111111111,12,9,114.75999999999999,4,3,4,11,Чемпионы,36841.939999999995,0.7012614236874929,C,1.3031541295199343,Z
5463642.0,671.69,113.51999999999997,13,2025-05-02 18:13:34,8.732307692307689,80,13,113.51999999999997,2,4,4,10,Чемпионы,36955.45999999999,0.7034222001508659,C,0.9800989632126539,Z
9458660.0,713.48,113.30000000000001,2,2024-10-26 09:43:04,56.650000000000006,268,2,113.30000000000001,1,2,4,7,Лояльные,37068.759999999995,0.7055787890629535,C,0.0,
156156113.0,1080.46,112.84999999999997,23,2025-07-10 07:42:42,4.906521739130433,11,23,112.84999999999997,4,4,4,12,Чемпионы,37181.60999999999,0.7077268125292295,C,0.5441401013300996,Z
156404299.0,607.75,109.59,7,2025-07-20 19:14:38,15.655714285714286,0,7,109.59,4,3,4,11,Чемпионы,37291.19999999999,0.7098127840991824,C,0.890819857134703,Z
6009710.0,860.95,109.17,9,2025-04-12 17:17:11,12.13,100,9,109.17,2,3,4,9,Лояльные,37400.36999999999,0.7118907612530446,C,0.6444804391865966,Z
155614634.0,683.11,109.07000000000001,13,2025-04-15 21:42:51,8.39,96,13,109.07000000000001,2,4,4,10,Чемпионы,37509.43999999999,0.7139668349745043,C,0.8055921565686818,Z
5352517.0,576.83,108.70999999999997,10,2025-07-15 18:25:10,10.870999999999997,6,10,108.70999999999997,4,4,4,12,Чемпионы,37618.14999999999,0.7160360563393148,C,1.2942541833505152,Z
8516198.0,687.66,107.24000000000001,25,2025-07-10 10:03:18,4.2896,11,25,107.24000000000001,4,4,4,12,Чемпионы,37725.389999999985,0.7180772972478078,C,1.1562331679975146,Z
5823257.0,744.94,107.23000000000002,17,2025-07-16 08:06:56,6.30764705882353,5,17,107.23000000000002,4,4,4,12,Чемпионы,37832.61999999999,0.7201183478130606,C,0.8338898987698036,Z
5566539.0,685.05,105.79999999999998,12,2025-07-19 11:58:04,8.816666666666665,2,12,105.79999999999998,4,4,4,12,Чемпионы,37938.41999999999,0.7221321792949571,C,0.8328238332848341,Z
156335836.0,840.32,104.89999999999998,4,2024-10-22 12:10:23,26.224999999999994,272,4,104.89999999999998,1,3,4,8,Лояльные,38043.31999999999,0.7241288798852306,C,0.0,
5687308.0,626.57,104.21000000000001,6,2025-02-09 10:58:02,17.368333333333336,162,6,104.21000000000001,2,3,4,9,Лояльные,38147.52999999999,0.7261124467919263,C,0.6750507239994428,Z
10136050.0,668.83,104.09000000000003,10,2024-11-28 21:17:05,10.409000000000002,234,10,104.09000000000003,1,4,4,9,Лояльные,38251.61999999999,0.7280937295797391,C,0.9724846527881339,Z
